广告名称,货币,"已花费金额 (USD)",单次点击费用（全部）,购物次数,单次购物费用,ROAS,报告开始日期,报告结束日期
20260520_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_23A,USD,2.49,0,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_06A,USD,4.81,2.405,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_10A,USD,7.27,3.635,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_11A,USD,20.39,4.078,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_08A,USD,5.63,0,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_13A,USD,14.7,14.7,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Ai_ZT-Plot_LVL1_typeface_RS-P2X3R1C2_DHR_15A,USD,2.63,0,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_01A,USD,2.15,0,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_14A,USD,29.31,1.54263158,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_10A,USD,24.79,1.37722222,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_03A,USD,5.58,2.79,,,0,2026-05-22,2026-05-22
20260520_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_02A,USD,5.65,5.65,,,0,2026-05-22,2026-05-22
20260206_JustFit_EN_9x16_FX-Slim_ZT-woman1_LVL1-typeface-GCC_RS-P2X1R2C1_095KB_DHR_FL_JR_RMG-867,USD,33.67,1.87055556,,,0,2026-05-22,2026-05-22
20260206_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_FL_DHR_05B,USD,0.76,0,,,0,2026-05-22,2026-05-22
20260206_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_FL_DHR_12A,USD,0.6,0.6,,,0,2026-05-22,2026-05-22
20260206_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_FL_DHR_05A,USD,22.59,3.22714286,,,0,2026-05-22,2026-05-22
20260206_JustFit_EN_9x16_FX-Slim_ZT-follow_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_YZY_pingme_FL_129A,USD,7.62,2.54,,,0,2026-05-22,2026-05-22
20260206_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C2_ZYL_pingme_FL_25A,USD,4.07,0,,,0,2026-05-22,2026-05-22
20260206_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C1_LLX_pingme_176A,USD,25.42,2.542,,,0,2026-05-22,2026-05-22
20260206_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C1_LLX_pingme_165A,USD,1.6,0,,,0,2026-05-22,2026-05-22
20260206_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C1_LLX_pingme_173A,USD,11.41,1.42625,,,0,2026-05-22,2026-05-22
20260206_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C1_LLX_pingme_191A,USD,13.23,0,,,0,2026-05-22,2026-05-22
20260206_JustFit_EN_9x16_FX-Slim_ZT-dancemachine_LVL1_typeface_LVL2_web2sale_RS-P2X2R3C1_LLX_pingme_163A,USD,2.24,0,,,0,2026-05-22,2026-05-22
20260213_JustFit_EN_9x16_FX-Slim_ZT-021301-GYM_LVL1-typeface_RS-P2X1R1C1_DHR-CN_RMG-895P,USD,16.53,8.265,,,0,2026-05-22,2026-05-22
20260225_Justfit_EN_720x1280_FX-Slim_ZT-bedworkout_LVL1_typeface_RS-P2X1R1C3_FL_WZC_05A,USD,2.7,2.7,,,0,2026-05-22,2026-05-22
20260226_Justfit_EN_720x1280_FX-Slim_ZT-bedworkout_LVL1_typeface_RS-P2X1R1C3_WZC_24A,USD,0.19,0,,,0,2026-05-22,2026-05-22
20260519_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_15A,USD,24.67,3.08375,,,0,2026-05-22,2026-05-22
20260519_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_16A,USD,2.19,0,,,0,2026-05-22,2026-05-22
20260519_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_17A,USD,5.6,2.8,,,0,2026-05-22,2026-05-22
20260519_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X3R1C2_DHR_FL_18A,USD,25.24,3.155,,,0,2026-05-22,2026-05-22
20260519_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_13A,USD,4.13,4.13,,,0,2026-05-22,2026-05-22
20260519_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_01A,USD,2.98,1.49,,,0,2026-05-22,2026-05-22
20260519_JustFit_EN_720x1280_FX-Plot_ZT-workout_LVL1_typeface_RS-P2X1R1C2_WZC_09A,USD,3.48,1.74,,,0,2026-05-22,2026-05-22
